ID,UNIDADE,CONVENIADA,MUNICIPIO,PROGRAMA,AÇÃO,OBJETO,NUMERO,INI,FIM,VL.CONVENIO,VL.CONTRAPARTE
60,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE CAMPO VERDE,CAMPO VERDE,AQUISIÇÃO DE MATERIAL BETUMINOSO - RL-1C. Emenda parlamentar nº 98 Dep. Nininho.,390,3117,0676-2016,15/06/2016,29/04/2018,150000,90509
64,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE CANARANA,CANARANA,PAVIMENTAÇÃO ASFÁLTICA DRENAGEM SUPERFICIAL E SINALIZAÇÃO DA AVENIDA MATO GROSSO. Emenda n.º 216/2016 - Zeca Viana.,390,3117,0509-2016,21/06/2016,31/12/2017,473000,34977
65,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE CANARANA,CANARANA,PAVIMENTAÇÃO ASFÁLTICA EM TSD E CAPA SELANTE NO DISTRITO DO CULUENE EM CANARANA  MT. Emenda Zeca Viana n.º 211 e 215 (R$ 400.00000),390,3117,0935-2016,30/06/2016,31/12/2017,430627,205637
77,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE COLÍDER,COLIDER,IMPLANTAÇÃO DE (02) DUAS ACADEMIAS AO AR LIVRE NO MUNICÍPIO DE COLIDER-MT. Emenda n.º 162/2016 - Mauro Savi,390,5168,0569-2016,29/06/2016,02/01/2018,100000,16368
80,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE COMODORO,COMODORO,Aquisição de Material para Recuperação de Pavimentação Asfáltica com Lama Asfáltica. Emenda Parlamentar n.º 272/2016 - Dr. Leonardo.,390,3117,0406-2016,17/06/2016,31/12/2017,100000,2987
83,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE CONQUISTA D´OESTE,CONQUISTA D´OESTE,AQUISIÇÃO DE MATERIAL PARA EXECUÇÃO DE PAVIMENTO DE VIAS URBANAS. Emenda n.º 165/2016 - Wancley Carvalho.,390,3117,0448-2016,13/06/2016,31/12/2017,122000,11855
88,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE COTRIGUAÇU,COTRIGUAÇU,Pavimentação de Vias Urbanas no Distrito de Nova União. Emenda parlamentar nº 59 Dep. Romoaldo Jr.,390,3117,0408-2016,22/06/2016,31/12/2017,249999,929
90,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE CUIABÁ,CUIABÁ,ELABORAÇÃO DE PROJETOS CIVIL E AMBIENTAL PARA INSTALAÇÃO DA USINA DE RECICLAGEM DE RESÍDUOS DA CONSTRUÇÃO CIVIL. Emenda Parlamentar nº 162/2016 Dep. Mauro Savi.,390,5168,1183-2016,28/12/2016,28/12/2017,150000,15000
91,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE CUIABÁ,CUIABÁ,Reforma do pavimento instalação de portais de entrada e pergolados nas ruas centrais do Centro de Cuiabá -MT. Emenda Parlamentar nº 104/2016 Dep. Eduardo Botelho.,390,5168,1272-2016,29/12/2016,01/12/2017,190000,87550
92,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE CUIABÁ,CUIABÁ,AMPLIAÇÃO DE DRENAGEM DE ÁGUAS PLUVIAIS E RECAPEAMENTO DA RUA 30 NO BAIRRO JARDIM INDUSTRIÁRIO NO MUNICÍPIO DE CUIABÁ/MT. Emenda parlamentar nº 104/2016 Dep. Eduardo Botelho.,390,3117,1390-2016,26/12/2016,04/11/2017,756519,46763
93,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE CURVELÂNDIA,CURVELÂNDIA,Construção de pórtico de entrada da cidade de Curvelândia - MT. Emenda Parlamentar nº 368/2016 Dep. Gilmar Fabris.,390,5168,0659-2016,29/12/2016,31/12/2017,90000,91262
118,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE GUARANTÃ DO NORTE,GUARANTÃ DO NORTE,CONSTRUÇÃO DE CICLOVIA NO MUNICÍPIO DE GUARANTÃ DO NORTE. Emenda n.º 117/2016 - Pedro Satélite,390,3117,0342-2016,14/06/2016,20/10/2017,590990,212341
119,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE GUIRATINGA,GUIRATINGA,Construção de Centro de Múltiplo Uso no município de Guiratinga-MT. Emenda parlamentar nº 98/2016 Dep. Nininho e nº 4343/2016 Dep. Zé do Pátio.,390,5168,1004-2016,27/12/2016,31/12/2017,150000,19064
120,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE GUIRATINGA,GUIRATINGA,Sinalização Horizontal e Vertical de ruas na cidade de Guiratinga. Emenda nº 110 Dep. Max Russi.,390,3117,1095-2016,28/06/2016,31/12/2017,149051,85017
121,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE GUIRATINGA,GUIRATINGA,Restauração de vias urbanas com lama asfáltica no município de Guiratinga - MT. Emenda Parlamentar nº 407/2016 Dep. Wilson Santos e 110/2016 Dep. Max Russi.,390,3117,1380-2016,29/12/2016,12/11/2017,422000,78190
125,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE IPIRANGA DO NORTE,IPIRANGA DO NORTE,Construção de Um Pórtico de Entrada Municipal - EMENDA PARLAMENTAR Nº 11,390,5168,0708-2016,02/05/2016,31/12/2017,93038,23940
128,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE ITAÚBA,ITAÚBA,Aquisição de material betuminoso e para produção de Lama Asfáltica para realização de rejuvenescimento da pavimentação de Ruas do Município de Itaúba-MT. Emenda Parlamentar n.º 11/2016 - José Domingos Fraga,390,3117,0997-2016,16/06/2016,14/11/2017,80000,20516
139,SECRETARIA DE ESTADO DAS CIDADES-SECID,PREFEITURA MUNICIPAL DE JAURU,JAURU,2ª etapa da obra de Revitalização da Praça João Rossi no município de Jauru/MT. Emenda parlamentar nº 281 Oscar Bezerra (100 mil).,390,5168,0847-2016,30/06/2016,08/01/2018,295710,7500
